R_death_2018,Less than a high school diploma 2014-18,Employed_2018,anycondition_prevalence,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,Internal Medicine Primary Care (2019),POP_ESTIMATE_2018,Civilian_labor_force_2018,Family Medicine/General Practice Primary Care (2019),R_birth_2018,Total Specialist Physicians (2019),30-39,60-69,Asian-alone pop,80+,CI90LBINC_2018,anycondition_number,40-49,Obesity_prevalence,Heart disease_prevalence,Some college or associate's degree 2014-18,Median_Household_Income_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),70-79,Active General Surgeons per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),High school diploma only 2014-18,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Two or more races pop,19-Oct,Total nurse practitioners (2019),R_INTERNATIONAL_MIG_2018,COPD_prevalence,diabetes_prevalence,Bachelor's degree or higher 2014-18,N_POP_CHG_2018,Unemployed_2018,50-59,R_NET_MIG_2018,GQ_ESTIMATES_2018,CI90UBINC_2018,R_DOMESTIC_MIG_2018,COPD_number,Population Aged 60+,Total physician assistants (2019),CKD_prevalence,Native American/American Indian-alone pop,Hawaiian/Pacific Islander-alone pop,0-9,Black-alone pop,county_pop2018_18 and older,White-alone pop,Heart disease_number,20-29,diabetes_number,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),CKD_number
10.5,7192,45708,47.2,7.1,23.1,69.43476669,102663,47855,47.47841497,11.8,200.083842,11875,12866,809,4742,46615,37247,11714,36.7,8.4,22997,50301,83.7,7448,8.3,93.7,26653,248.6,3137,14003,53.03776322,7,9.6,13.0,12347,-406,2147,13423,52,5863,53987,170,7559,24080,19.63776098,3.3,305,24,12743,12990,78996,85398,6669,13849,10254,292.7,1.703812894,2575
8.8,54112,434714,39.3,7.3,20.8,1106.597804,830839,450670,237.257073,10.3,2494.389176,105527,98505,44707,32646,69837,257886,105957,31.3,6.2,148585,71767,114.6,54298,9.6,134.3,158830,353.7,19052,106944,754.0224785,65,6.0,9.4,202881,4910,15956,124326,284,28276,73697,37,39053,170081,260.729995,2.7,3336,589,92020,49477,656107,713678,40556,110616,61478,449.5,9.028046917,17828
11.6,2427,28291,41.9,11.7,31.1,32.96676863,54811,29407,45.78490351,8.6,91.89742708,5902,9423,685,2960,49062,19053,6264,30.7,8.6,12208,52148,119.7,5996,12.1,128.9,13350,305.7,759,5511,45.04775837,6,8.4,11.0,13358,214,1116,8278,105,987,55234,86,3806,16940,22.76959423,3.3,260,12,4909,527,45447,52568,3913,5568,5000,330.2,1.392385259,1505
13.4,3579,23475,45.9,7.5,34.2,48.78090025,51823,25525,14.7080246,7.8,117.7671101,5017,8415,764,3557,54849,19687,5374,36.4,8.8,11291,59266,97.6,6635,9.6,116.2,12372,306.1,981,5168,28.66992784,12,8.6,14.0,11907,246,2050,7699,205,722,63683,220,3671,17655,19.73362368,3.6,214,22,4645,6797,42920,43045,3783,5313,5992,386.0,0.428805382,1530
9.6,25441,182612,47.0,6.5,20.1,117.1333173,392680,189210,219.5435369,13.0,473.8752781,54504,46241,9149,14026,48141,141823,47640,34.7,7.6,80333,49957,75.0,25788,7.0,79.9,69644,188.2,8538,48083,170.0322348,16,7.6,12.8,90726,-936,6598,49288,70,8776,51773,137,22960,79133,27.23121615,3.2,1768,209,51510,147401,301671,225615,23077,55600,38634,207.6,11.46577522,9669
13.7,9317,35025,54.5,5.4,28.0,31.13971036,82299,36389,27.5612243,11.1,97.19833349,8905,11717,595,4148,40135,35206,9151,38.0,10.2,17861,43337,66.5,8405,6.2,72.9,19091,199.9,1628,10170,28.38702878,25,10.4,15.1,10306,1238,1364,11223,480,1238,46539,280,6692,22345,16.75408173,3.9,779,83,9462,5303,64575,73911,6615,9118,9719,224.8,1.499637985,2494
9.2,4071,19806,46.7,7.1,20.0,30.03814707,44413,20584,20.5396184,9.5,86.55819208,6292,4990,641,1595,56444,16500,6404,33.6,7.6,8966,61645,83.7,3076,8.3,93.7,13026,248.6,758,5291,22.94464586,39,9.0,11.8,5317,366,778,6439,295,4828,66846,52,3174,8744,8.495484044,2.9,162,12,4770,2816,35296,40024,2669,5556,4152,292.7,0.737085825,1009
14.3,1162,3547,51.1,6.3,30.7,3.461664525,6941,3692,3.038735173,6.2,9.576619938,670,1190,40,352,50866,3007,760,38.7,9.7,1441,56872,81.7,775,7.3,90.3,2099,231.8,228,636,3.649089864,9,10.2,17.7,720,-59,145,1288,128,0,62878,155,600,2156,1.712904621,4.3,475,5,536,3153,5889,3040,570,734,1043,263.2,0.078229707,254
11.2,400,2646,49.0,6.3,28.0,2.564371347,6196,2722,3.807187005,10.2,8.114479625,820,880,38,363,44755,2481,720,39.8,8.2,1675,50261,80.5,517,6.8,88.0,1544,206.5,120,631,3.494354981,4,8.2,12.7,925,-111,76,817,377,978,55767,388,413,1772,1.77058669,3.2,50,0,600,326,5059,5662,416,848,643,227.6,0.295807151,164
11.3,813,7130,45.8,6.5,26.6,5.72320093,14134,7291,9.677493905,11.6,18.30259953,1535,1898,50,754,55151,4975,1678,34.2,8.0,3464,60044,77.9,1183,6.9,84.8,3758,193.1,189,1848,8.607192635,7,7.7,11.2,1862,5,161,2080,17,277,64937,20,833,3779,3.819945535,3.1,50,0,1731,60,10856,13785,863,1427,1217,218.2,0.528433263,342
