R_death_2018,Less than a high school diploma 2014-18,Employed_2018,anycondition_prevalence,Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,Internal Medicine Primary Care (2019),POP_ESTIMATE_2018,Civilian_labor_force_2018,Family Medicine/General Practice Primary Care (2019),R_birth_2018,Total Specialist Physicians (2019),30-39,60-69,Asian-alone pop,80+,CI90LBINC_2018,anycondition_number,40-49,Obesity_prevalence,Heart disease_prevalence,Some college or associate's degree 2014-18,Median_Household_Income_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),70-79,Active General Surgeons per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),High school diploma only 2014-18,Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Two or more races pop,19-Oct,Total nurse practitioners (2019),R_INTERNATIONAL_MIG_2018,COPD_prevalence,diabetes_prevalence,Bachelor's degree or higher 2014-18,N_POP_CHG_2018,Unemployed_2018,50-59,R_NET_MIG_2018,GQ_ESTIMATES_2018,CI90UBINC_2018,R_DOMESTIC_MIG_2018,COPD_number,Population Aged 60+,Total physician assistants (2019),CKD_prevalence,Native American/American Indian-alone pop,Hawaiian/Pacific Islander-alone pop,0-9,Black-alone pop,county_pop2018_18 and older,White-alone pop,Heart disease_number,20-29,diabetes_number,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),CKD_number
8.9,934,6827,43.2,6.3,22.2,8.530884434,13714,6996,6.124507953,13.4,24.32119112,1544,1642,30,628,53417,4550,1688,31.4,7.6,2504,58855,79.0,1040,7.0,86.6,4051,236.3,111,1911,7.648919472,3,8.8,10.8,1747,51,169,2012,117,405,64293,357,924,3017,1.488595683,2.9,54,11,1648,57,10543,13451,801,1601,1142,273.1,0.273095749,304
11.8,726,3732,52.1,6.3,29.9,3.512035958,7042,3849,3.082952469,7.7,9.715971417,723,1138,32,356,45522,3027,787,39.0,9.5,1385,51124,81.7,727,7.3,90.3,2055,231.8,196,730,3.702188564,9,9.9,15.6,1027,42,117,1140,205,0,56726,221,573,2107,1.737829469,3.9,125,2,633,1881,5806,4806,554,808,905,263.2,0.079368044,228
7.0,197870,909581,47.1,5.4,16.2,751.467097,1986049,940900,665.1106571,14.0,2345.601441,298637,179542,65187,55947,52804,696450,249508,37.7,6.6,379838,54210,66.5,102918,6.2,72.9,308714,199.9,47052,284659,685.0390663,57,5.7,13.4,337748,27208,31319,225144,400,42261,55616,260,84995,307269,404.3114408,3.1,24235,4496,281600,169699,1478380,1675380,97014,308094,198276,224.8,36.18943754,45733
5.5,7658,29308,36.5,6.2,17.2,34.78904784,61537,30869,23.64280057,12.9,91.42722938,8463,6221,2222,1821,73188,16694,7839,28.3,5.6,13492,80063,87.1,3349,7.2,96.2,9440,243.8,2145,9125,23.97882142,8,5.6,10.6,7486,1338,1561,8110,164,289,86938,169,2544,10074,12.31609765,2.9,1896,269,8382,935,45710,54070,2562,8227,4857,279.6,0.558479103,1332
2.5,501,10926,27.3,7.1,24.9,7.888393494,17950,11363,8.581740105,8.2,22.97183387,2588,2756,335,546,79319,4169,2531,20.7,5.3,2516,89034,88.9,1631,7.8,95.4,2025,262.5,275,1594,9.123811092,59,4.6,7.2,8606,-2,437,2713,70,72,98749,171,705,4417,7.081590164,2.5,87,22,1397,188,15246,17043,814,2194,1100,285.7,0.28049022,380
9.4,3927,17645,43.5,7.1,22.5,18.22148945,34709,18169,19.55884648,16.5,54.90925246,3569,4156,181,1616,52615,10648,3700,37.2,8.4,6258,55245,86.4,2368,7.9,94.6,9018,238.3,321,5424,18.15581567,2,8.6,11.1,2484,140,524,4565,116,464,57875,274,2113,7761,10.9854327,3.4,268,18,5654,199,24486,33722,2065,3657,2721,264.9,0.794055733,824
12.8,738,7950,42.4,6.5,27.2,5.604153168,13840,8111,9.476193267,12.2,17.92188889,1538,1821,118,1033,49826,4474,1447,34.0,8.0,3314,53147,77.9,1049,6.9,84.8,3650,193.1,136,1821,8.428155234,2,7.4,10.8,1910,28,161,1818,41,398,56468,232,777,3787,3.740487208,3.2,51,3,1774,178,10548,13354,847,1539,1136,218.2,0.517441372,337
8.7,253,885,54.7,8.6,12.2,1.053617234,2742,933,1.681436352,8.0,2.97747879,348,207,12,66,28823,1077,365,45.8,10.6,482,32341,84.8,110,9.2,92.8,599,219.1,104,551,1.470091302,14,10.5,18.3,260,-12,48,378,100,0,35859,125,207,347,1.255638237,4.5,1930,1,341,13,1968,682,209,376,359,240.4,0.17715688,89
14.8,1703,4259,59.3,6.9,28.0,5.739297334,12277,4494,4.691906967,10.2,15.9293758,1260,1726,26,683,29644,5764,1335,43.2,11.7,1881,32613,71.2,1308,7.6,77.2,4315,196.7,165,1434,6.372252664,3,12.7,20.5,949,-158,235,1754,15,45,35582,17,1239,3542,1.343774212,4.8,63,4,1367,5680,9727,6339,1139,1410,1994,217.1,0.253684477,464
12.3,3550,7891,58.9,6.5,20.2,7.588251143,25439,8320,14.22269541,12.0,30.69907609,3830,3059,162,902,30167,11803,3304,47.4,9.9,5723,33257,75.0,1810,7.0,79.9,7120,188.2,404,2886,11.01520327,14,10.3,17.3,1947,-499,429,3212,134,4098,36347,139,2071,5393,1.764120677,4.1,200,17,3021,13468,20043,11188,1993,3415,3458,207.6,0.742787654,812
11.7,4008,15902,48.0,7.4,26.1,18.07643992,34117,16408,12.5280261,10.4,50.91337398,3891,4599,169,1581,47687,12763,4071,35.3,9.8,5617,51249,77.8,2962,8.1,85.1,9664,225.8,682,4408,28.96665086,14,11.7,14.4,4454,284,506,4978,407,283,54811,100,3104,8761,6.007002058,3.6,283,53,3864,2377,26577,30553,2607,3763,3815,253.1,0.579534594,965
11.8,3239,19550,47.7,7.2,27.0,35.35698404,43641,20503,24.54816047,9.8,91.21052349,4847,6245,121,2496,43313,16443,4996,33.5,8.8,7260,46751,88.2,3866,8.7,100.8,15712,273.3,444,5123,23.86323817,3,9.7,12.9,5136,-187,953,6237,65,775,50189,224,3358,11961,19.31753494,3.4,110,11,4996,225,34460,42730,3042,4835,4445,320.5,0.678107153,1184
8.2,7102,67878,40.0,5.4,24.9,56.1403206,148373,70132,49.68883624,10.7,175.2343082,18044,20239,2071,5506,72951,45927,18597,31.4,7.2,29250,76523,66.5,11936,6.2,72.9,24400,199.9,2879,19181,51.17764032,39,6.6,11.4,33117,7583,2254,20906,519,1186,80095,525,7530,32206,30.20514671,3.0,1288,137,17763,3773,114699,138225,8282,16201,13102,224.8,2.703626857,3431
10.3,2554,9263,55.4,7.6,21.3,8.576421727,19404,9627,8.250734826,12.3,28.03512844,2330,2283,201,778,41072,8148,2323,39.1,10.5,3206,45661,72.9,1379,8.3,77.3,5573,214.6,362,2566,12.74087157,5,13.3,15.6,1725,88,364,2820,145,505,50250,203,1964,4112,4.281697126,3.7,42,7,2565,1339,14712,17453,1549,2360,2297,230.9,0.455961661,544
13.9,4129,15074,45.9,6.5,24.2,11.67097426,39126,15960,21.87496288,12.2,47.21616617,4669,5038,280,1685,40818,13626,4627,35.9,9.3,7769,45335,75.0,3036,7.0,79.9,9543,188.2,671,5102,16.94173683,0,9.5,14.8,5638,-294,886,5248,70,524,49852,143,2824,9680,2.713274327,3.7,213,22,5171,12869,29707,25071,2764,4550,4397,207.6,1.142431296,1096
10.6,1253,11177,38.6,6.6,27.3,12.06546253,21058,11534,13.15754639,12.7,35.21313685,2422,2868,129,1353,55423,6123,2249,31.8,7.7,5185,58761,96.0,1743,7.4,104.9,4888,265.0,208,2767,10.8082526,25,6.5,10.1,3030,76,357,2795,146,359,62099,128,1038,5688,6.800192259,3.2,40,3,2844,111,15867,20567,1222,2017,1608,302.7,0.476613917,505
7.2,1212,4677,52.0,6.3,21.6,7.856575062,12630,4829,5.640406552,9.4,22.39876359,1942,1358,49,642,43848,5439,1880,38.3,8.2,2492,48920,79.0,836,7.0,86.6,4279,236.3,143,1189,7.044323533,46,9.4,12.0,1442,40,152,1755,314,3460,53992,181,984,2717,1.370932148,3.1,69,14,1193,1476,10457,10879,853,1835,1258,273.1,0.251509356,322
